.conv1,0.0001610040635569021,0.00023018097272142768,9408
.bn1,0.00019068241817876697,0.00019260328554082662,128
.layer1.0.conv1,0.0002323150692973286,0.00019411651010159403,4096
.layer1.0.bn1,0.00011575698590604588,0.00015283116954378784,128
.layer1.0.conv2,0.0002886342990677804,0.0006112614646553993,36864
.layer1.0.bn2,0.00011488437303341925,0.0001507146080257371,128
.layer1.0.conv3,0.00031936168670654297,0.00037602015072479844,16384
.layer1.0.bn3,9.915351984091103e-05,0.00019371752568986267,512
.layer1.0.downsample.0,0.00031877518631517887,0.0001928319688886404,16384
.layer1.0.downsample.1,0.00013707160542253405,0.0001524565159343183,512
.layer1.1.conv1,0.0002101087593473494,0.0006129206158220768,16384
.layer1.1.bn1,0.0001164436325780116,0.00015231054567266256,128
.layer1.1.conv2,0.0002881860709749162,0.0003808420442510396,36864
.layer1.1.bn2,0.00011542797437869012,0.0001919269561767578,128
.layer1.1.conv3,0.000321106897899881,0.00026959789101965725,16384
.layer1.1.bn3,0.00013778210268355906,0.0001928757701534778,512
.layer1.2.conv1,0.00020966530428268015,0.00019358615099918097,16384
.layer1.2.bn1,0.00011631965753622353,0.0001518434437457472,128
.layer1.2.conv2,0.0002897167287301272,0.000809071003459394,36864
.layer1.2.bn2,0.00011610030924202874,0.00015041293227113783,128
.layer1.2.conv3,0.0003206300607416779,0.00029873361927457154,16384
.layer1.2.bn3,0.00013824939378537238,0.0001594387722434476,512
.layer2.0.conv1,0.00024313450558111072,0.0001979068765649572,32768
.layer2.0.bn1,0.0001157474544015713,0.00014878778893034905,256
.layer2.0.conv2,0.0002450704632792622,0.0002923206484410912,147456
.layer2.0.bn2,0.00011526107846293598,0.00014940573601052165,256
.layer2.0.conv3,0.000208196637686342,0.0002890995529014617,65536
.layer2.0.bn3,9.562492050463334e-05,0.0001594387722434476,1024
.layer2.0.downsample.0,0.00024377346562687308,0.0001986902643693611,131072
.layer2.0.downsample.1,0.00013164996926207095,0.0001495808974141255,1024
.layer2.1.conv1,0.0002586317132227123,0.0002920189581345767,65536
.layer2.1.bn1,0.0001143360132118687,0.00014965875016059726,256
.layer2.1.conv2,0.00022211074247024953,0.00029042302048765123,147456
.layer2.1.bn2,0.00011435985652497038,0.00016069412231445312,256
.layer2.1.conv3,0.0002100849087582901,0.00020122528076171875,65536
.layer2.1.bn3,0.0001306915219174698,0.00015199427434708923,1024
.layer2.2.conv1,0.00025923727662302554,0.0002976437099277973,65536
.layer2.2.bn1,0.00011458873632363975,0.00015598900790791959,256
.layer2.2.conv2,0.00022096633620094508,0.00029891851590946317,147456
.layer2.2.bn2,0.00011387825361452997,0.0001691068900981918,256
.layer2.2.conv3,0.0002085113519569859,0.00021490758808795363,65536
.layer2.2.bn3,0.0001312923413934186,0.00016302478616125882,1024
.layer2.3.conv1,0.0002583980676718056,0.00030637759482488036,65536
.layer2.3.bn1,0.00011409759463276714,0.00016331186634488404,256
.layer2.3.conv2,0.00022181510576047003,0.00031003172625787556,147456
.layer2.3.bn2,0.0001142406472354196,0.00017453213513363153,256
.layer2.3.conv3,0.00020654201216530055,0.00022603054821956903,65536
.layer2.3.bn3,0.00013053417205810547,0.0001740261068334803,1024
.layer3.0.conv1,0.0002612304815556854,0.0003271492023486644,131072
.layer3.0.bn1,0.00011736393207684159,0.00017994277004618198,512
.layer3.0.conv2,0.0004436826566234231,0.0003302000113762915,589824
.layer3.0.bn2,0.00011888027074746788,0.0001877619361039251,512
.layer3.0.conv3,0.0002873992780223489,0.0002429485321044922,262144
.layer3.0.bn3,0.0001114225378842093,0.00019314337987452745,2048
.layer3.0.downsample.0,0.0004415225994307548,0.0002543001901358366,524288
.layer3.0.downsample.1,0.00015481948503293097,0.0001899855415103957,2048
.layer3.1.conv1,0.0002596092235762626,0.0003593697911128402,262144
.layer3.1.bn1,0.00013185500574763864,0.00019241352856624871,512
.layer3.1.conv2,0.0003303051053080708,0.00028860324528068304,589824
.layer3.1.bn2,0.00013299465354066342,0.00019159122894052416,512
.layer3.1.conv3,0.000306277273921296,0.00025515654124319553,262144
.layer3.1.bn3,0.0001640367554500699,0.00019257409439887851,2048
.layer3.2.conv1,0.0002749633858911693,0.000265048467554152,262144
.layer3.2.bn1,0.00014060974353924394,0.00019277844694443047,512
.layer3.2.conv2,0.0003394174564164132,0.0002893914934247732,589824
.layer3.2.bn2,0.00014379978529177606,0.00019171286839991808,512
.layer3.2.conv3,0.0003187370311934501,0.0002554873935878277,262144
.layer3.2.bn3,0.00017474174092058092,0.0001921605144161731,2048
.layer3.3.conv1,0.0002920055412687361,0.00026429916033521295,262144
.layer3.3.bn1,0.0001468467671656981,0.00019249624165240675,512
.layer3.3.conv2,0.00034546852111816406,0.00029034516774117947,589824
.layer3.3.bn2,0.00014731407281942666,0.00019195128697901964,512
.layer3.3.conv3,0.00032006262335926294,0.0002544656163081527,262144
.layer3.3.bn3,0.00017431259038858116,0.00019265680748503655,2048
.layer3.4.conv1,0.0002929687616415322,0.0002643040206748992,262144
.layer3.4.bn1,0.00014741420454811305,0.00019295362289994955,512
.layer3.4.conv2,0.0003469562507234514,0.00029532762710005045,589824
.layer3.4.bn2,0.00014932632620912045,0.00018902700685430318,512
.layer3.4.conv3,0.00032196997199207544,0.00022177794016897678,262144
.layer3.4.bn3,0.00017641067097429186,0.00019136740593239665,2048
.layer3.5.conv1,0.0002943611179944128,0.0002521300921216607,262144
.layer3.5.bn1,0.00014893054321873933,0.00019185883866157383,512
.layer3.5.conv2,0.0003477430436760187,0.0003236215852666646,589824
